institution.displayName,institution.schoolType,institution.aliasNames,institution.state,institution.city,institution.zip,institution.region,institution.isPublic,institution.institutionalControl,institution.primaryPhotoCardThumb,ranking.displayRank,ranking.sortRank,ranking.isTied,searchData.actAvg.rawValue,searchData.percentReceivingAid.rawValue,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.engineeringRepScore.rawValue,searchData.parentRank.rawValue,searchData.enrollment.rawValue,searchData.businessRepScore.rawValue,searchData.satAvg.rawValue,searchData.costAfterAid.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
National University College,regional-universities-south,,PR,Bayamon,,south,True,proprietary,,#123-135,-1,False,,,,7158,,,,23730,,,,N/A,N/A
Navajo Technical University,tribal,,NM,Crownpoint,,,True,public,,Unranked,-2,False,,,,3278,,,,1291,,,,N/A,N/A
Nazareth University,regional-universities-north,,NY,Rochester,14618,north,True,private,,#54,54,True,24,79,84,40880,3.5,,,1987,,1140,35449.0,1140-1320,24-28
Nebraska Methodist College,health,,NE,Omaha,68114,,True,private,,Unranked,-2,False,,,84,16883,,,,857,,,,N/A,N/A
Nebraska Wesleyan University,regional-universities-midwest,,NE,Lincoln,68504,midwest,True,private,,#38,38,True,22,69,81,41658,3.7,,,1545,,1010,29629.0,1010-1240,22-27
Neumann University,regional-universities-north,,PA,Aston,19014,north,True,private,,#123,123,True,,,85,37590,3.3,,,1682,,930,,930-1160,N/A
Neumont College of Computer Science,specialty-engineering,,UT,,,,True,private,,Unranked,-2,False,,,91,26505,,,,517,,,,N/A,N/A
Nevada State University,regional-colleges-west,,NV,Henderson,89002,west,True,public,,#35,35,True,,,79,19964,,,,7158,,,,N/A,N/A
Newberry College,regional-colleges-south,,SC,Newberry,29108,south,True,private,,#10,10,True,16,82,75,30050,3.7,,,1292,,928,21978.0,928-1103,16-23
New College of Florida,national-liberal-arts-colleges,,FL,Sarasota,34243,,True,public,,#100,100,True,24,48,75,29944,3.9,,,669,,1103,20132.0,1103-1360,24-31
New England College,regional-universities-north,,NH,Henniker,03242,north,True,private,,#151-167,-1,False,,,96,41454,2.9,,,1041,,,,N/A,N/A
New England Conservatory of Music,specialty-arts,,MA,Boston,02115,,True,private,,Unranked,-2,False,,,43,55210,,,,423,,,,N/A,N/A
New England Institute of Technology,regional-universities-north,New England Tech,RI,East Greenwich,02818,north,True,private,,Unranked,-2,False,,,77,35625,2.9,,,1720,,,,N/A,N/A
New Jersey City University,regional-universities-north,,NJ,Jersey City,07305,north,True,public,,#143,143,True,,,90,24163,3.2,,,4895,,890,,890-1140,N/A
New Jersey Institute of Technology,national-universities,NJIT,NJ,Newark,07102,,True,public,,#86,86,True,27,51,66,34972,3.8,2.6,,9019,2.6,1190,39244.0,1190-1450,27-33
Newman University,regional-universities-midwest,,KS,Wichita,67213,midwest,True,private,,#124,124,True,17,,72,34400,,,,2154,,,,N/A,17-25
New Mexico Highlands University,regional-universities-west,,NM,Las Vegas,87701,west,True,public,,#98,98,True,,,,11988,,,,1544,,,,N/A,N/A
New Mexico State University,national-universities,NMSU,NM,Las Cruces,88003,,True,public,,#296,296,True,17,,78,27385,3.5,2.3,,11591,2.4,900,,900-1140,17-23
New Mexico Tech,regional-universities-west,New Mexico Tech NMT,NM,Socorro,87801,west,True,public,,#34,34,True,21,,74,26312,3.7,< 2.0,,1218,,1110,,1110-1320,21-28
New Orleans Baptist Theological Seminary,faith,,LA,New Orleans,70126,,True,private,,Unranked,-2,False,,,,10820,,,,792,,,,N/A,N/A
The New School,national-universities,,NY,New York,10011,,True,private,,#201,201,True,,28,57,56244,3.6,,,7208,,,61587.0,N/A,N/A
NewSchool of Architecture and Design,regional-universities-west,,CA,San Diego,92101,west,True,proprietary,,#91,91,True,,,61,30291,,,,301,,,,N/A,N/A
New York Institute of Technology,regional-universities-north,NYIT,NY,Old Westbury,11568,north,True,private,,#21,21,True,24,59,76,44360,3.6,3.0,,3453,2.3,1118,52913.0,1118-1360,24-31
New York School of Interior Design,specialty-arts,,NY,New York,10021,,True,private,,Unranked,-2,False,,,54,28580,,,,487,,,,N/A,N/A
New York University,national-universities,NYU,NY,New York,10012,,True,private,,#35,35,True,33,35,12,60438,3.8,3.0,,29401,4.4,1470,40236.0,1470-1570,33-35
Niagara University,regional-universities-north,,NY,Niagara University,14109,north,True,private,,#30,30,True,24,65,90,37920,3.6,,,2709,2.2,1030,25011.0,1030-1240,24-28
Nicholls State University,regional-universities-south,,LA,Thibodaux,70310,south,True,public,,#69,69,True,19,,98,9249,3.4,,,5328,< 2.0,945,,945-1130,19-24
Nichols College,regional-universities-north,,MA,Dudley,01571,north,True,private,,#118,118,False,,,85,40475,3,,,1164,,940,,940-1180,N/A
Nightingale College,unranked,,UT,,,,True,proprietary,,Unranked,-2,False,,,,70800,,,,2273,,,,N/A,N/A
Norfolk State University,regional-universities-south,,VA,Norfolk,23504,south,True,public,,#55,55,True,15,,89,21412,3,2.3,,5337,< 2.0,840,,840-1040,15-20
North Carolina Agricultural and Technical State University,national-universities,North Carolina A & T State University North Carolina A and T State University,NC,Greensboro,27411,,True,public,,#280,280,True,17,,56,20243,3.8,2.3,,11833,2.2,960,,960-1140,17-23
North Carolina Central University,regional-universities-south,NCCU,NC,Durham,27707,south,True,public,,#26,26,False,15,71,84,19715,3.2,,,5634,< 2.0,810,26877.0,810-1130,15-23
North Carolina State University,national-universities,NC State North Carolina State University Raleigh,NC,Raleigh,27695,,True,public,,#60,60,True,24,39,47,31976,3.8,3.6,,26254,3.2,1245,31998.0,1245-1440,24-31
North Carolina Wesleyan University,regional-colleges-south,,NC,Rocky Mount,27804,south,True,private,,#47,47,True,15,73,68,35936,,,,1249,,860,25402.0,860-1120,15-21
North Central College,regional-universities-midwest,,IL,Naperville,60540,midwest,True,private,,#24,24,True,22,72,61,44394,3.7,,,2368,,1020,30100.0,1020-1240,22-28
North Central University,regional-colleges-midwest,,MN,Minneapolis,55404,midwest,True,private,,#23,23,True,,42,58,29460,3.4,,,809,,,38037.0,N/A,N/A
North Dakota State University,national-universities,,ND,Fargo,58108,,True,public,,#249,249,True,19,,96,15646,3.5,2.1,,10096,2.2,968,,968-1216,19-25
Northeastern Illinois University,regional-universities-midwest,,IL,Chicago,60625,midwest,True,public,,#139,139,False,12,,63,22725,,,,4205,2.2,,,N/A,12-22
Northeastern State University,regional-universities-west,,OK,Tahlequah,74464,west,True,public,,#62,62,True,17,,99,17172,3.4,,,5225,,,,N/A,17-23
Northeastern University,national-universities,,MA,Boston,02115,,True,private,,#53,53,True,33,29,7,63141,,3.4,,16302,3.4,1440,40809.0,1440-1550,33-35
Northern Arizona University,national-universities,NAU,AZ,Flagstaff,86011,,True,public,,#249,249,True,19,,80,28900,3.7,2.0,,23207,2.5,1050,,1050-1270,19-25
Northern Illinois University,national-universities,,IL,DeKalb,60115,,True,public,,#269,269,True,,,71,12504,3.4,2.9,,11429,2.6,,,N/A,N/A
Northern Kentucky University,national-universities,,KY,Highland Heights,41099,,True,public,,#382,382,True,19,,86,21480,3.4,,,10776,2.2,1030,,1030-1290,19-25
Northern Marianas College,regional-colleges-west,,MP,Saipan,96950,west,True,public,,#40,40,False,,,,5520,,,,1298,,,,N/A,N/A
Northern Michigan University,regional-universities-midwest,,MI,Marquette,49855,midwest,True,public,,#60,60,True,,29,71,18800,3.4,,,6434,2.0,,26321.0,N/A,N/A
Northern New Mexico College,regional-colleges-west,,NM,Espanola,87532,west,True,public,,#32,32,True,,,,14329,,,,1136,,,,N/A,N/A
Northern State University,regional-universities-midwest,,SD,Aberdeen,57401,midwest,True,public,,#88,88,True,18,,78,11947,3.4,,,2851,,800,,800-1150,18-24
North Florida College,regional-colleges-south,,FL,Madison,32340,south,True,public,,#13,13,False,,,100,11400,,,,1127,,,,N/A,N/A
North Greenville University,regional-universities-south,,SC,Tigerville,29688,south,True,private,,#36,36,True,22,,76,24500,3.8,,,1839,,1060,,1060-1240,22-28
Northland College,regional-colleges-midwest,,WI,Ashland,54806,midwest,True,private,,#33,33,False,20,,58,41237,,,,531,,1010,,1010-1160,20-27
North Park University,regional-universities-midwest,,IL,Chicago,60625,midwest,True,private,,#30,30,False,20,,67,34020,,,,1849,,890,,890-1162,20-26
North Seattle College,regional-colleges-west,,WA,Seattle,98103,west,True,public,,Unranked,-2,False,,,,5547,,,,4887,,,,N/A,N/A
Northwestern College,regional-universities-midwest,,IA,Orange City,51041,midwest,True,private,,#43,43,True,20,76,88,35300,3.6,,,1169,,1030,31905.0,1030-1320,20-25
Northwestern Health Sciences University,health,,MN,Bloomington,55431,,True,private,,Unranked,-2,False,,,,11007,,,,387,,,,N/A,N/A
Northwestern Michigan College,regional-colleges-midwest,,MI,Traverse City,49686,midwest,True,public,,Unranked,-2,False,,,,12048,,,,3296,,,,N/A,N/A
Northwestern Oklahoma State University,regional-universities-west,,OK,Alva,73717,west,True,public,,#86,86,True,16,,56,11664,3.4,,,1647,,830,,830-1070,16-22
Northwestern State University of Louisiana,regional-universities-south,,LA,Natchitoches,71497,south,True,public,,#73,73,True,18,,92,19460,3.3,,,8358,< 2.0,925,,925-1120,18-23
Northwestern University,national-universities,,IL,Evanston,60208,,True,private,,#9,9,True,33,43,7,65997,,4.0,,8659,,1490,26861.0,1490-1570,33-35
Northwest Florida State College,regional-colleges-south,,FL,Niceville,32578,south,True,public,,Unranked,-2,False,,,,11625,,,,4697,,,,N/A,N/A
Northwest Indian College,tribal,,WA,Bellingham,,,True,public,,Unranked,-2,False,,,,3969,,,,622,,,,N/A,N/A
Northwest Missouri State University,regional-universities-midwest,,MO,Maryville,64468,midwest,True,public,,#76,76,True,18,,80,19461,3.5,,,5308,,938,,938-1158,18-24
Northwest Nazarene University,regional-universities-west,,ID,Nampa,83686,west,True,private,,#50,50,True,19,71,88,39370,3.7,2.2,,1140,,1000,30519.0,1000-1240,19-27
Northwest University,regional-universities-west,,WA,Kirkland,98033,west,True,private,,#44,44,True,22,71,95,36036,3.6,,,723,,1050,24618.0,1050-1320,22-30
Northwood University,specialty-business,,MI,Midland,48640,,True,private,,Unranked,-2,False,,,80,33000,3.5,,,1038,,,,N/A,N/A
Norwich University,regional-universities-north,,VT,Northfield,05663,north,True,private,,#90,90,False,22,,83,50600,3.3,2.8,,2854,,1040,,1040-1290,22-28
Notre Dame College of Ohio,regional-colleges-midwest,,OH,Cleveland,44121,midwest,True,private,,#53,53,True,16,,82,31950,,,,1376,,890,,890-1100,16-22
Notre Dame of Maryland University,regional-universities-north,,MD,Baltimore,21210,north,True,private,,#54,54,True,,61,70,41910,3.4,,,660,,998,33751.0,998-1303,N/A
Nova Southeastern University,national-universities,,FL,Ft. Lauderdale,33314,,True,private,,#227,227,True,20,,76,37080,3.9,2.1,,6971,,1040,,1040-1310,20-27
Nueta Hidatsa Sahnish College,tribal,,ND,New Town,,,True,public,,Unranked,-2,False,,,,3870,,,,187,,,,N/A,N/A
Oakland City University,national-universities,,IN,Oakland City,47660,,True,private,,#304,304,True,17,,78,27150,,,,699,,895,,895-1150,17-23
Oakland University,national-universities,,MI,Rochester,48309,,True,public,,#332,332,True,17,,90,23188,3.5,< 2.0,,12841,2.1,930,,930-1190,17-26
Oak Point University,health,,IL,Oak Brook,60622,,True,private,,Unranked,-2,False,,,,23188,,,,507,,,,N/A,N/A
Oakwood University,national-liberal-arts-colleges,,AL,Huntsville,35896,,True,private,,#178,178,True,,,72,20040,,,,1378,,,,N/A,N/A
Oberlin College and Conservatory,national-liberal-arts-colleges,,OH,Oberlin,44074,,True,private,,#51,51,True,30,38,35,64646,3.7,,,2986,,1360,37245.0,1360-1530,30-33
Occidental College,national-liberal-arts-colleges,,CA,Los Angeles,90041,,True,private,,#35,35,True,31,50,39,63446,3.7,,,1942,,1360,35196.0,1360-1510,31-34
Oglala Lakota College,tribal,,SD,Kyle,57752,,True,public,,Unranked,-2,False,,,,2684,,,,1414,,,,N/A,N/A
Oglethorpe University,national-liberal-arts-colleges,,GA,Atlanta,30319,,True,private,,#163,163,True,22,,72,45806,,,,1491,,1065,,1065-1305,22-29
Ohio Christian University,regional-universities-midwest,,OH,Circleville,43113,midwest,True,private,,#148,148,True,,,,23100,,,,1439,,,,N/A,N/A
Ohio Dominican University,regional-universities-midwest,,OH,Columbus,43219,midwest,True,private,,#95,95,True,16,,52,34370,,,,846,,883,,883-1146,16-24
Ohio Northern University,regional-colleges-midwest,ONU,OH,Ada,45810,midwest,True,private,,#2,2,False,21,74,54,37600,3.8,3.3,,2569,2.1,1075,25081.0,1075-1310,21-28
The Ohio State University,national-universities,OSU  Ohio State University Columbus,OH,Columbus,43210,,True,public,,#43,43,True,29,10,53,36722,,3.7,,46123,3.9,1310,44279.0,1310-1480,29-32
Ohio University,national-universities,OU,OH,Athens,45701,,True,public,,#178,178,True,22,47,87,24114,3.8,2.3,,17860,2.7,1080,28995.0,1080-1270,22-27
Ohio Wesleyan University,national-liberal-arts-colleges,OWU,OH,Delaware,43015,,True,private,,#116,116,True,23,,52,52297,3.7,,,1410,,1123,,1123-1358,23-30
Oklahoma Baptist University,regional-universities-west,,OK,Shawnee,74804,west,True,private,,#44,44,True,17,60,51,34050,3.2,,,1330,,960,37643.0,960-1160,17-24
Oklahoma Christian University,regional-universities-west,,OK,Oklahoma City,73136,west,True,private,,#56,56,True,19,34,96,25900,3.6,2.3,,2003,,1020,35073.0,1020-1240,19-27
Oklahoma City University,national-universities,,OK,Oklahoma City,73106,,True,private,,#280,280,True,20,,70,33586,3.8,,,1361,< 2.0,1080,,1080-1260,20-26
Oklahoma Panhandle State University,regional-colleges-west,,OK,Goodwell,73939,west,True,public,,#37,37,False,17,,90,8426,3.1,,,1242,,863,,863-1088,17-21
Oklahoma State University,national-universities,OSU,OK,Stillwater,74078,,True,public,,#185,185,True,20,27,71,24764,3.6,2.6,,20801,3.1,1010,34656.0,1010-1250,20-27
Oklahoma State University Institute of Technology--Okmulgee,regional-colleges-west,OSU Oklahoma State University Institute of Technology Okmulgee,OK,Okmulgee,74447,west,True,public,,Unranked,-2,False,,,48,11384,3.2,,,2364,,,,N/A,N/A
Oklahoma State University--Oklahoma City,regional-colleges-west,Oklahoma State University Oklahoma City,OK,Oklahoma City,73107,west,True,public,,Unranked,-2,False,,,,9564,,,,4456,,,,N/A,N/A
Oklahoma Wesleyan University,regional-universities-west,,OK,Bartlesville,74006,west,True,private,,#79,79,True,16,,54,30262,,,,782,,880,,880-1130,16-23
Old Dominion University,national-universities,ODU,VA,Norfolk,23529,,True,public,,#280,280,True,22,,95,32662,3.4,2.2,,18375,2.7,1090,,1090-1250,22-27
Olivet Nazarene University,regional-universities-midwest,,IL,Bourbonnais,60914,midwest,True,private,,#47,47,True,18,78,60,37940,,2.3,,2519,,930,22281.0,930-1210,18-27
Olympic College,regional-colleges-west,,WA,Bremerton,98337,west,True,public,,Unranked,-2,False,,,,9740,,,,4999,,,,N/A,N/A
Oral Roberts University,regional-universities-west,,OK,Tulsa,74171,west,True,private,,#74,74,True,19,,99,34100,3.6,2.2,,4402,,1020,,1020-1240,19-26
Oregon Health and Science University,special-focus-research,OHSU,OR,Portland,97239,,True,public,,Unranked,-2,False,,,,43575,,,,783,,,,N/A,N/A
Oregon Institute of Technology,regional-colleges-west,OIT,OR,Klamath Falls,97601,west,True,public,,#5,5,False,23,24,93,35592,3.5,2.9,,4804,,1050,43815.0,1050-1255,23-30
Oregon State University,national-universities,,OR,Corvallis,97331,,True,public,,#142,142,True,22,34,83,35664,3.6,2.9,,28905,3.0,1130,42472.0,1130-1380,22-30
Otis College of Art and Design,specialty-arts,,CA,Los Angeles,90045,,True,private,,Unranked,-2,False,,,83,50040,3.2,,,1268,,,,N/A,N/A
Ottawa University,regional-colleges-midwest,,KS,Ottawa,66067,midwest,True,private,,#32,32,True,18,,78,33380,3.3,,,853,,860,,860-1100,18-23
Otterbein University,regional-universities-midwest,,OH,Westerville,43081,midwest,True,private,,#20,20,False,20,60,84,34899,3.8,< 2.0,,2173,,1035,28117.0,1035-1270,20-27
Ouachita Baptist University,national-liberal-arts-colleges,,AR,Arkadelphia,71998,,True,private,,#178,178,True,21,,72,32480,3.8,,,1730,< 2.0,1020,,1020-1200,21-29
Our Lady of the Lake University,national-universities,,TX,San Antonio,78207,,True,private,,#395-435,-1,False,15,,69,31728,3.6,,,1195,,900,,900-1110,15-16
Ozark Christian College,faith,,MO,Joplin,64801,,True,private,,Unranked,-2,False,,,94,15550,3.5,,,619,,,,N/A,N/A
Pace University,national-universities,,NY,New York,10038,,True,private,,#249,249,True,24,,83,51424,3.4,,,8223,2.6,1120,,1120-1300,24-29
Pacific College,health,,CA,Costa Mesa,,,True,proprietary,,Unranked,-2,False,,,71,40000,,,,356,,,,N/A,N/A
Pacific Lutheran University,regional-universities-west,,WA,Tacoma,98447,west,True,private,,#25,25,True,27,55,89,50964,3.7,,,2301,< 2.0,1253,53270.0,1253-1423,27-30
Pacific Northwest College of Art,specialty-arts,,OR,Portland,97209,,True,private,,Unranked,-2,False,,,98,45100,,,,397,,,,N/A,N/A
Pacific Oaks College,regional-universities-west,,CA,Pasadena,91103,west,True,private,,Unranked,-2,False,,,13,11692,,,,479,,,,N/A,N/A
Pacific Union College,regional-colleges-west,,CA,Angwin,94508,west,True,private,,#13,13,False,19,75,48,35214,3.5,,,848,,990,22459.0,990-1260,19-26
Pacific University,national-universities,,OR,Forest Grove,97116,,True,private,,#209,209,True,20,78,92,54466,3.7,,,1639,,1010,58140.0,1010-1350,20-26
Paine College,national-liberal-arts-colleges,,GA,Augusta,30901,,True,private,,#186-204,-1,False,,,52,14596,,,,251,,,,N/A,N/A
Palm Beach Atlantic University,national-universities,,FL,West Palm Beach,33416,,True,private,,#382,382,True,19,,95,35900,,,,3028,,1000,,1000-1240,19-26
Palm Beach State College,regional-colleges-south,,FL,Lake Worth,33461,south,True,public,,Unranked,-2,False,,,,16895,2.9,,,24223,,,,N/A,N/A
Parker University,regional-universities-west,,TX,Dallas,75229,west,True,private,,Unranked,-2,False,,,,15718,,,,466,,,,N/A,N/A
Park University,regional-universities-midwest,,MO,Parkville,64152,midwest,True,private,,#149-164,-1,False,,,,12671,,,,7387,,,,N/A,N/A
Pasco-Hernando State College,regional-colleges-south,,FL,New Port Richey,34654,south,True,public,,Unranked,-2,False,,,,12032,,,,9257,,,,N/A,N/A
Patrick Henry College,national-liberal-arts-colleges,,VA,Purcellville,20132,,True,private,,Unranked,-2,False,,,76,28425,3.8,,,409,,,,N/A,N/A
Paul Quinn College,regional-colleges-west,,TX,Dallas,75241,west,True,private,,#38,38,False,,,87,13798,,,,384,,,,N/A,N/A
Paul Smith's College,regional-colleges-north,Paul Smiths College,NY,Paul Smiths,12970,north,True,private,,#25,25,False,,,75,32048,,,,711,,,,N/A,N/A
Peirce College,regional-colleges-north,,PA,Philadelphia,19102,north,True,private,,Unranked,-2,False,,,,15060,,,,788,,,,N/A,N/A
Peninsula College,regional-colleges-west,,WA,Port Angeles,98362,west,True,public,,Unranked,-2,False,,,,4919,,,,1702,,,,N/A,N/A
Pennsylvania Academy of the Fine Arts,specialty-arts,,PA,Philadelphia,19102,,True,private,,Unranked,-2,False,,,84,42100,,,,121,,,,N/A,N/A
Pennsylvania College of Art & Design,specialty-arts,,PA,Lancaster,17608,,True,private,,Unranked,-2,False,,,44,29450,,,,245,,,,N/A,N/A
Pennsylvania College of Technology,regional-colleges-north,Penn College,PA,Williamsport,17701,north,True,public,,#6,6,False,19,,75,25680,3.1,,,4234,,1008,,1008-1180,19-23
Pennsylvania State University -- Behrend,regional-universities-north,Penn State,PA,Erie,16563,north,True,public,,Unranked,-2,False,,,,26370,,2.6,,0,2.2,,,N/A,N/A
Pennsylvania State University--Berks,regional-universities-north,,PA,,,north,True,public,,Unranked,-2,False,,,,26370,,2.3,,0,,,,N/A,N/A
Pennsylvania State University--Harrisburg,regional-universities-north,Penn State,PA,Middletown,17057,north,True,public,,Unranked,-2,False,,,,26370,,2.7,,0,2.3,,,N/A,N/A
The Pennsylvania State University--University Park,national-universities,Penn State Pennsylvania State University University Park,PA,University Park,16802,,True,public,,#60,60,True,26,14,55,38651,3.7,3.8,,41745,3.8,1210,49692.0,1210-1390,26-31
Pennsylvania Western University,regional-universities-north,,PA,California,15419,north,True,public,,#135,135,True,18,,94,14816,3.4,< 2.0,,9404,,940,,940-1160,18-25
Pensacola State College,regional-colleges-south,,FL,Pensacola,32504,south,True,public,,Unranked,-2,False,,,,17225,,,,8604,,,,N/A,N/A
Pepperdine University,national-universities,,CA,Malibu,90263,,True,private,,#76,76,True,28,55,49,66742,3.8,,,3662,3.3,1285,40083.0,1285-1480,28-32
Peru State College,regional-universities-midwest,,NE,Peru,68421,midwest,True,public,,#148,148,True,,,,7920,,,,1763,,,,N/A,N/A
Pfeiffer University,regional-universities-south,,NC,Misenheimer,28109,south,True,private,,#71,71,False,18,,72,33290,,,,744,,891,,891-1165,18-25
Philander Smith College,regional-colleges-south,,AR,Little Rock,72202,south,True,private,,#60,60,False,,,,13014,,,,769,,,,N/A,N/A
Phillips School of Nursing at Mount Sinai Beth Israel,health,,NY,New York,,,True,private,,Unranked,-2,False,,,,28323,,,,290,,,,N/A,N/A
Piedmont University,regional-universities-south,,GA,Demorest,30535,south,True,private,,#52,52,True,19,79,64,30680,3.5,,,1245,,990,25046.0,990-1200,19-25
Pillar College,national-liberal-arts-colleges,,NJ,Newark,,,True,private,,#186-204,-1,False,,,,23668,,,,443,,,,N/A,N/A
Pittsburgh Technical College,regional-colleges-north,,PA,Oakdale,15071,north,True,private,,Unranked,-2,False,,,82,18000,,,,1066,,,,N/A,N/A
Pittsburg State University,regional-universities-midwest,,KS,Pittsburg,66762,midwest,True,public,,#96,96,True,17,,94,19654,,,,4560,2.0,,,N/A,17-24
Pitzer College,national-liberal-arts-colleges,,CA,Claremont,91711,,True,private,,#39,39,True,,34,18,62692,3.9,,,1212,,,35103.0,N/A,N/A
Platt College,health,,CO,Aurora,80014,,True,proprietary,,Unranked,-2,False,,,58,20590,,,,236,,,,N/A,N/A
Plaza College,regional-colleges-north,,NY,Forest Hills,11375,north,True,proprietary,,Unranked,-2,False,,,30,14425,,,,896,,,,N/A,N/A
Plymouth State University,regional-universities-north,,NH,Plymouth,03264,north,True,public,,#130,130,True,,,98,25498,3,,,3308,,,,N/A,N/A
Point Loma Nazarene University,regional-universities-west,,CA,San Diego,92106,west,True,private,,#9,9,False,23,58,82,43550,3.7,,,3154,,1160,36807.0,1160-1360,23-30
Point Park University,national-universities,,PA,Pittsburgh,15222,,True,private,,#352,352,True,19,,82,48070,3.6,2.0,,2418,,1030,,1030-1245,19-26
Point University,regional-colleges-south,Atlanta Christian College,GA,West Point,31833,south,True,private,,#74,74,True,16,,47,22300,,,,1638,,890,,890-1130,16-21
Polk State College,regional-colleges-south,,FL,Winter Haven,33881,south,True,public,,Unranked,-2,False,,,,12272,,,,9044,,,,N/A,N/A
Pomona College,national-liberal-arts-colleges,,CA,Claremont,91711,,True,private,,#4,4,True,33,52,7,62326,,,,1791,,1480,18694.0,1480-1560,33-35
Pontifical Catholic University of Puerto Rico--Arecibo,national-universities,,PR,Arecibo,00614,,True,private,,Unranked,-2,False,,,98,5818,,,,361,,,,N/A,N/A
Pontifical Catholic University of Puerto Rico--Ponce,national-universities,,PR,Ponce,00717,,True,private,,#380,380,False,,,85,5920,,,,4473,,,,N/A,N/A
Pontifical College Josephinum,national-liberal-arts-colleges,,OH,Columbus,43235,,True,private,,Unranked,-2,False,,,80,26763,,,,32,,,,N/A,N/A
Portland State University,national-universities,PSU,OR,Portland,97207,,True,public,,#280,280,True,18,,93,24495,3.4,2.1,,16864,2.5,1070,,1070-1300,18-27
Post University,regional-universities-north,,CT,Waterbury,06708,north,True,proprietary,,#151-167,-1,False,,,95,32525,,,,14944,,,,N/A,N/A
Prairie View A&M University,national-universities,Prairie View A & M University Prairie View A and M University,TX,Prairie View,77446,,True,public,,#395-435,-1,False,18,,77,26874,,< 2.0,,8444,< 2.0,840,,840-1050,18-20
Pratt Institute,specialty-arts,,NY,Brooklyn,11205,,True,private,,Unranked,-2,False,,,45,59683,3.8,,,3702,,,,N/A,N/A
Presbyterian College,national-liberal-arts-colleges,,SC,Clinton,29325,,True,private,,#139,139,True,21,,59,43300,3.3,,,955,,1020,,1020-1270,21-27
Prescott College,regional-universities-west,,AZ,Prescott,86301,west,True,private,,#90,90,False,,,98,35685,,,,317,,,,N/A,N/A
Princeton University,national-universities,,NJ,Princeton,08544,,True,private,,#1,1,False,34,61,6,59710,3.9,4.1,,5604,,1500,17464.0,1500-1580,34-35
Principia College,national-liberal-arts-colleges,,IL,Elsah,62028,,True,private,,#51,51,True,16,81,48,33280,3.3,,,314,,1027,17954.0,1027-1190,16-26
Providence Christian College,national-liberal-arts-colleges,,CA,Pasadena,91104,,True,private,,#186-204,-1,False,,,83,33884,,,,123,,,,N/A,N/A
Providence College,regional-universities-north,,RI,Providence,02918,north,True,private,,#1,1,True,28,48,53,60848,3.6,,,4279,2.7,1260,41450.0,1260-1420,28-32
Provo College,health,,UT,Provo,,,True,proprietary,,Unranked,-2,False,,,,17112,,,,684,,,,N/A,N/A
Pueblo Community College,regional-colleges-west,,CO,Pueblo,81004,west,True,public,,Unranked,-2,False,,,,16275,,,,5938,,,,N/A,N/A
Puerto Rico Conservatory of Music,specialty-arts,,PR,San Juan,00907,,True,public,,Unranked,-2,False,,,51,3370,,,,325,,,,N/A,N/A
Purchase College--SUNY,national-liberal-arts-colleges,Purchase College SUNY Purchase College SUNY,NY,Purchase,10577,,True,public,,#139,139,True,29,,78,18863,3.4,,,3145,,1190,,1190-1350,29-31
Purdue University--Fort Wayne,regional-universities-midwest,Indiana University-Purdue University Fort Wayne Indiana University Purdue University Fort Wayne IU IPFW,IN,Fort Wayne,46805,midwest,True,public,,#117,117,True,20,,81,22220,3.4,3.1,,8390,2.5,980,,980-1210,20-27
Purdue University Global,national-universities,,IN,West Lafayette,,,True,public,,#395-435,-1,False,,,,14445,,,,32477,,,,N/A,N/A
Purdue University--Main Campus,national-universities,Purdue University West Lafayette Purdue University West Lafayette,IN,West Lafayette,47907,,True,public,,#43,43,True,27,34,53,28794,3.7,4.4,,37949,3.8,1200,29309.0,1200-1470,27-34
Purdue University--Northwest,regional-universities-midwest,,IN,Hammond,46323,midwest,True,public,,#103,103,True,18,,73,13096,3.1,2.9,,6126,2.2,950,,950-1170,18-24
Queens University of Charlotte,regional-universities-south,,NC,Charlotte,28274,south,True,private,,#16,16,True,22,56,71,42790,,,,1317,2.1,1080,37780.0,1080-1255,22-29
Quincy University,regional-colleges-midwest,,IL,Quincy,62301,midwest,True,private,,#36,36,True,21,69,62,35740,3.4,,,1146,,1080,22012.0,1080-1250,21-26
Quinnipiac University,national-universities,,CT,Hamden,06518,,True,private,,#170,170,True,24,61,84,53090,3.5,2.9,,6073,2.8,1120,42078.0,1120-1300,24-29
Radford University,national-universities,,VA,Radford,24142,,True,public,,#304,304,True,19,,93,24738,3.4,,,6008,2.1,960,,960-1160,19-23
Ramapo College of New Jersey,regional-universities-north,,NJ,Mahwah,07430,north,True,public,,#27,27,True,21,1,70,25374,3.5,,,4932,2.1,1100,27888.0,1100-1290,21-28
Randolph College,national-liberal-arts-colleges,,VA,Lynchburg,24503,,True,private,,#165,165,True,22,,95,29010,3.3,,,478,,930,,930-1140,22-30
Randolph-Macon College,national-liberal-arts-colleges,R-MC Randolph Macon College Randolph Macon,VA,Ashland,23005,,True,private,,#107,107,True,23,,85,48106,3.7,,,1490,,1020,,1020-1220,23-27
Ranken Technical College,regional-colleges-midwest,,MO,Saint Louis,63113,midwest,True,private,,Unranked,-2,False,,,,16960,,,,1826,,,,N/A,N/A
