institution.displayName,institution.schoolType,institution.aliasNames,institution.state,institution.city,institution.zip,institution.region,institution.isPublic,institution.institutionalControl,institution.primaryPhotoCardThumb,ranking.displayRank,ranking.sortRank,ranking.isTied,searchData.actAvg.rawValue,searchData.percentReceivingAid.rawValue,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.engineeringRepScore.rawValue,searchData.parentRank.rawValue,searchData.enrollment.rawValue,searchData.businessRepScore.rawValue,searchData.satAvg.rawValue,searchData.costAfterAid.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
Appalachian Bible College,faith,,WV,Bradley,25818,,True,private,,Unranked,-2,False,,,46,18230,,,,192,,,,N/A,N/A
Appalachian State University,regional-universities-south,,NC,Boone,28608,south,True,public,,#3,3,False,21,23,83,25077,3.9,,,18558,2.5,1100,32444.0,1100-1270,21-27
Aquinas College,national-liberal-arts-colleges,,MI,Grand Rapids,49506,,True,private,,#156,156,True,,,91,38520,,,,1169,,1000,,1000-1180,N/A
Arcadia University,regional-universities-north,,PA,Glenside,19038,north,True,private,,#69,69,True,24,,78,47130,3.4,,,1870,,1088,,1088-1320,24-29
Arizona Christian University,regional-colleges-west,,AZ,Glendale,85306,west,True,private,,#18,18,True,18,36,70,35047,3.3,,,1082,,1000,43619.0,1000-1200,18-25
Arizona College of Nursing--Las Vegas,health,,NV,Las Vegas,,,True,proprietary,,Unranked,-2,False,,,99,21653,,,,946,,,,N/A,N/A
Arizona College of Nursing--Tempe,health,,AZ,Tempe,,,True,proprietary,,Unranked,-2,False,,,,24000,,,,0,,,,N/A,N/A
Arizona State University,national-universities,ASU,AZ,Tempe,85287,,True,public,,#105,105,True,19,31,90,32193,3.5,3.5,,65492,3.7,1120,45551.0,1120-1370,19-27
Arkansas Baptist College,regional-colleges-south,,AR,Little Rock,72202,south,True,private,,#91-99,-1,False,,,73,8760,2.8,,,864,,,,N/A,N/A
Arkansas State University,national-universities,Arkansas State University Jonesboro Arkansas State University Jonesboro,AR,State University,72467,,True,public,,#361,361,True,19,,70,13312,3.6,2.7,,8201,2.5,980,,980-1200,19-25
Arkansas Tech University,regional-universities-south,,AR,Russellville,72801,south,True,public,,#73,73,True,17,,94,17466,3.4,2.4,,8722,2.0,990,,990-1180,17-24
